date,servo_index_used,label_shown_by_sketch,uno_pin,physical_servo,reached_90_ok,plus_minus_1deg_ok,plus_minus_5deg_ok,wide_20deg_ok,noise_or_heat,pass,horn_state,notes
2026-08-01,0,Base,D3,GRIPPER / CLAW,yes,yes,yes,yes,PENDING-operator-confirm,provisional,horn off (unloaded),"CORRECTION: the sketch printed 'Base' because index 0 = pin D3, but the servo physically wired to D3 was the GRIPPER/CLAW. Index selects a PIN, not a motor. First confirmed movement. Root cause of earlier no-motion: MISSING COMMON GROUND (Arduino GND to supply negative). Powered from 6.6V Kids II S005VU0600070 via breadboard. No board reset. CAUTION: if this is an MG90S its max is 6.0V and the supply measures 6.62V - over spec, see V2 doc."
2026-08-05,1,Shoulder,D4+D5,SHOULDER PAIR (D4 + D5),n/a,n/a,n/a,yes,not-reported,provisional,not-reported,"LOCKED AT THE CONSOLE - not the single-servo bench sketch, so the sketch-specific columns above do not apply and are n/a rather than blank. LOCK THIS AXIS at 18:05; controller replied OK LIM J1 MIN=0 MAX=84 CAL=1 (FW 1.0.0, console 1.2.0); home settled at 1 deg. Evidence file: Downloads/calibration-row-J1.csv. WHAT THIS IS: accepted COMMANDED soft limits, i.e. angles the operator drove to and chose. It is NOT a measurement of mechanical travel - nothing in this system observes the shaft. mirror_mode=inverted with mirror_offset_deg=0 STILL UNMEASURED: 0-84 mirrors to 96-180 which is legal at any plausible axis, so this lock does not confirm the axis is 90."
2026-08-05,0,Base,D3,DISPUTED - see 2026-08-01 row,n/a,n/a,n/a,yes,not-reported,provisional-UNCONFIRMED,not-reported,"LOCKED AT THE CONSOLE at 15:36; controller replied OK LIM J0 MIN=29 MAX=110 CAL=1 (FW 1.0.0, console 1.2.0); home settled at 64 deg. Evidence file: Downloads/calibration-row-J0.csv. PROMOTED into joint-limits.csv on 2026-08-06 (29/110/64, calibrated=yes). It had been recorded here only, while that row sat at 0-180 calibrated=no - because the 0-180 sweep on 2026-08-05 widened every row without checking for existing locks, and this lock existed. Widening min from 29 to 0 gave back 29 degrees the operator had already measured as unreachable; a joint commanded into that region drives against a mechanical stop and stalls. Symptom on 2026-08-06: J0 would not drive from the console after having driven the previous day. STILL OPEN: the 2026-08-01 row above says the servo physically on D3 was the GRIPPER, not the Base. Limits follow the PIN so they hold either way, but joint_name and wiring-map.csv may both be wrong; if D3 is the gripper, correct wiring-map.csv and joint-limits.csv together."
2026-08-05,1,Shoulder,D4+D5,SHOULDER PAIR (D4 + D5),n/a,n/a,n/a,yes,not-reported,provisional,not-reported,"LOCKED AT THE CONSOLE 19:04 - OK LIM J1 MIN=0 MAX=91 CAL=1. Third and newest lock for this joint: 18:05 gave 0-84 home 1; 18:47 gave 0-91 home 85; 19:04 gave 0-91 home 0. joint-limits.csv carries 0-91 with home edited to 1 because a home at 0 sits on the bottom end of travel. Artifacts in Calibration_Notes/lock-artifacts/. Accepted COMMANDED soft limits - not mechanical travel. mirror_offset_deg still 0 and still unmeasured; 0-91 mirrors to 89-180 so it is legal at offset 0 and would be legal at a wrong axis too - the lock proves nothing about the offset."
2026-08-06,3,Elbow,D6,ELBOW (assumed - pin D6),n/a,n/a,n/a,yes,not-reported,provisional,not-reported,"LOCKED AT THE CONSOLE 04:43 - OK LIM J3 MIN=0 MAX=66 CAL=1. Supersedes the 2026-08-05 19:04 lock of 0-46. NOTE: this lock proves D6 was driving at 04:43 and contradicts the earlier no-motion report for the elbow. Accepted COMMANDED soft limits - not mechanical travel."
2026-08-06,4,Wrist pitch,D9,WRIST PITCH (assumed - pin D9),n/a,n/a,n/a,yes,not-reported,provisional,not-reported,"LOCKED AT THE CONSOLE 04:44 - OK LIM J4 MIN=0 MAX=180 CAL=1. TREAT AS UNCONFIRMED: 0-180 is the servo's entire electrical range and equals the placeholder width; a joint locked at exactly that has most likely not been driven to a mechanical stop at either end. home edited from the locked 180 to 90. MG90S rated 4.8-6.0V driven on a 6.62V supply - over spec."
2026-08-06,5,Wrist roll,D10,WRIST ROLL (DOC-CONFIRMED MG90S),n/a,n/a,n/a,yes,not-reported,provisional,not-reported,"LOCKED AT THE CONSOLE 04:47 - OK LIM J5 MIN=31 MAX=178 CAL=1. The 31 looks like a real found end; 178 is 2 degrees off the electrical ceiling so the top end may be electrical rather than mechanical. home edited from the locked 178 to 104. MG90S rated 4.8-6.0V driven on a 6.62V supply - over spec."
2026-08-06,6,Gripper,D11,"GRIPPER / CLAW (CONFIRMED - operator observed it open and close)",n/a,n/a,n/a,yes,not-reported,confirmed,"assembled - horn on, on the arm","FIRST MOTION ON THIS ARM CONFIRMED AGAINST THE SHAFT. Driven from a pyserial script, not the console: LIM 6 10 70 1 / SPD 6 12 / ENA 6 40, then two full 10-70 cycles. THE OPERATOR WATCHED IT AND REPORTED 'it opened and closed' - that is the approved exception to the vocabulary rule, a value a human actually OBSERVED. Independently corroborated by camera: 1799 and 1657 pixels changed between commanded 10 and 70 across two cycles, against a 272-pixel control taken between two frames at the SAME command. Global shift under 0.5 px by phase correlation, so it is the fingers and not the whole arm swinging. Evidence: Calibration_Notes/evidence/2026-08-06_J6-*.png. INTERPOLATOR PROVEN TO RAMP: STA sampled mid-move showed MOV=1 with SET stepping 12 17 23 29 34 40 46 51 57 63 68 70 - about 11-12 deg/s against the commanded 12. RESOLVES THE D3/D11 IDENTITY DISPUTE FOR THIS JOINT: the joint the firmware drives as J6 IS the gripper, so the wiring map is right about D11. The 2026-08-01 row was never in conflict - it records the single-servo BENCH sketch, horn off and unloaded, where index 0 selects pin D3 on a bench rig. Two configurations, not two claims. J0 STAYS DISPUTED: the base servo is dead so driving D3 proves nothing; re-test after the replacement. First joint run on the new JCPOWER JC-25-5 (+5V 5A) - the old 6.62V unit was over spec for this MG90S and this row's own limits entry had forbidden it. NO FUSE FITTED YET - 1A slow-blow still outstanding."
2026-08-06,5,Wrist roll,D10,WRIST ROLL (MG90S - DOC-CONFIRMED),n/a,n/a,n/a,yes,not-reported,confirmed,"assembled - horn on, on the arm","CAMERA-VERIFIED MOTION, ~19:20. Driven through the holder daemon's file command channel (hold_arm.py owns COM5), not the console. Two runs: 104->70->140->104 and 104->60->150->104. Every waypoint parked at the commanded angle with CL=0 MOV=0 JTO=0, and the joint returns to its home angle matching the start frame. Camera: 10221/13487/10533 and 11636/14362/12033 changed px inside the wrist ROI against same-waypoint noise floors of 0-20 px, where the floor is two frames 0.5s apart at the SAME command. Ratios 600-14000x against a pre-committed 4x bar. Global shift 25-61 px is EXPECTED here and is not a confound - a roll joint swings the whole gripper. Evidence: Calibration_Notes/evidence/2026-08-06_motion-verify/ (J5_strip.png, DEMO_J5_strip.png, *_result.json). Harness: Software/tests/motion_verify.py. Limits unchanged - this verifies MOTION, it does not re-measure travel, and no angle is derived from pixels because the camera is still uncalibrated."
2026-08-06,4,Wrist pitch,D9,WRIST PITCH (MG90S - INFERRED),n/a,n/a,n/a,yes,not-reported,confirmed,"assembled - horn on, on the arm","CAMERA-VERIFIED MOTION, ~19:20. Sequences 90->75->90->105->90 (twice) and 90->75->90->75. Every waypoint parked at the commanded angle, CL=0 MOV=0 JTO=0, returns to home. Camera: 1852-3390 changed px against noise floors of 0-27, ratios 96-3390x. Global shift 0.1-0.8 px, so this is the joint articulating and NOT the arm swinging - a cleaner separation than J5's. DELIBERATELY LIMITED TO +-15 OFF 90: this joint's 0-180 lock equals the placeholder width, so a mechanical stop may sit well inside it and the ends REMAIN UNCONFIRMED. Nothing here changes that. CAVEAT ON THE SHAPE GATE: 15 deg of pitch moves the silhouette by only ~1 px at this camera distance, so the harness's geometry check false-negatives on some real J4 legs (1 of 3 in either ROI) and reports DISAGREES. The pixel evidence and the operator watching it live are what carry this row."
